+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-origurl.inwap+ACI-	0
+ACI-origurl.main+ACI-	0
+ACI-origurl.www.larx.com+ACI-	0
+ACI-origurl.geocities.com+ACI-	0
+ACI-origurl.4301.misfits2+ACI-	0
+ACI-origurl.kattsida+ACI-	0
+ACI-origurl.members.aol.com+ACI-	0
+ACI-origurl.spu.edu+ACI-	0
+ACI-origurl.sunsite.unc.edu+ACI-	0
+ACI-origurl.valley.2647+ACI-	0
+ACI-origurl.josefina3+ACI-	0
+ACI-origurl.tkaine+ACI-	0
+ACI-origurl.bonchin.cat+ACI-	0
+ACI-origurl.chopin.htm+ACI-	0
+ACI-origurl.punkie+ACI-	0
+ACI-origurl.ubc.ca+ACI-	0
+ACI-origurl.links.nf+ACI-	0
+ACI-origurl.misfits2+ACI-	0
+ACI-origurl.area51.vault+ACI-	0
+ACI-origurl.kitty+ACI-	0
+ACI-origurl.plato+ACI-	0
+ACI-origurl.hollywood.7735+ACI-	0
+ACI-origurl.link+ACI-	0
+ACI-origurl.www.monmouth.com+ACI-	0
+ACI-origurl.hist+ACI-	0
+ACI-origurl.members.tripod.com+ACI-	0
+ACI-origurl.www.ibitexas.com+ACI-	0
+ACI-origurl.cgidir.dll+ACI-	0
+ACI-origurl.heartland+ACI-	0
+ACI-origurl.pages.catscats+ACI-	0
+ACI-origurl.tkaine.linda+ACI-	0
+ACI-origurl.crawler+ACI-	0
+ACI-origurl.paul.spu.edu+ACI-	0
+ACI-origurl.bishop.pterry+ACI-	0
+ACI-origurl.carousel.org+ACI-	0
+ACI-origurl.romance+ACI-	0
+ACI-origurl.nyx.net+ACI-	0
+ACI-origurl.hollywood+ACI-	0
+ACI-origurl.simonc+ACI-	0
+ACI-origurl.sox+ACI-	0
+ACI-origurl.www.cob.sjsu.edu+ACI-	0
+ACI-origurl.timeout.5+ACI-	0
+ACI-origurl.leonora+ACI-	0
+ACI-origurl.fh.rpl.de+ACI-	0
+ACI-origurl.vt.edu+ACI-	0
+ACI-origurl.ucsd.edu+ACI-	0
